"feature","num_methods_outof4_feature_important_AD","num_methods_outof4_feature_important_PD","num_methods_outof4_feature_important_Dementia","num_methods_outof12_finding_feature_important","PheCode","Phenotype"
"Abnormal.results.of.other.function.studies..bladder..pancreas..placenta..spleen..etc.",0,0,0,0,794,"Abnormal results of other function studies (bladder, pancreas, placenta, spleen, etc)"
"Abnormal.spermatozoa",0,0,0,0,609.2,"Abnormal spermatozoa"
"Abnormal.sputum",0,1,1,2,516,"Abnormal sputum"
"Abnormality.in.fetal.heart.rate.or.rhythm",0,0,0,0,655.1,"Abnormality in fetal heart rate or rhythm"
"Abnormality.of.organs.and.soft.tissues.of.pelvis.complicating.pregnancy..childbirth..or.the.puerperium",0,0,2,2,654.1,"Abnormality of organs and soft tissues of pelvis complicating pregnancy, childbirth, or the puerperium"
"Abnormality.of.red.blood.cells",0,0,2,2,289.9,"Abnormality of red blood cells"
"Abnormality.of.secretion.of.glucagon.or.gastrin",2,1,0,3,251.8,"Abnormality of secretion of glucagon or gastrin"
"Abscess.or.ulceration.of.vulva",0,2,0,2,614.54,"Abscess or ulceration of vulva"
"Absent.or.infrequent.menstruation",0,0,0,0,626.11,"Absent or infrequent menstruation"
"Acid.base.balance.disorder",3,1,1,5,276.4,"Acid-base balance disorder"
"Acidosis",4,4,3,11,276.41,"Acidosis"
"Acne",0,0,1,1,706.1,"Acne"
"Acquired.absence.of.breast",0,0,0,0,175,"Acquired absence of breast"
"Acquired.acanthosis.nigricans",0,0,0,0,701.6,"Acquired acanthosis nigricans"
"Acquired.coagulation.factor.deficiency",1,1,0,2,286.4,"Acquired coagulation factor deficiency"
"Acquired.deformities.of.finger",0,0,0,0,736.2,"Acquired deformities of finger"
"Acquired.deformities.of.forearm",0,0,1,1,736.1,"Acquired deformities of forearm"
"Acquired.deformities.of.hip",0,0,0,0,736.3,"Acquired deformities of hip"
"Acquired.deformities.of.knee",0,0,0,0,736.5,"Acquired deformities of knee"
"Acquired.foot.deformities",0,0,0,0,735,"Acquired foot deformities"
"Acquired.hemolytic.anemias",2,0,2,4,283,"Acquired hemolytic anemias"
"Acquired.hypothyroidism",1,4,4,9,244.2,"Acquired hypothyroidism"
"Acquired.spondylolisthesis",1,1,2,4,738.4,"Acquired spondylolisthesis"
"Acquired.toe.deformities",1,0,0,1,735.2,"Acquired toe deformities"
"Acromegaly.and.gigantism",0,0,0,0,253.11,"Acromegaly and gigantism"
"Actinic.keratosis",3,2,4,9,702.1,"Actinic keratosis"
"Acute..but.ill.defined.cerebrovascular.disease",0,3,3,6,433.6,"Acute, but ill-defined cerebrovascular disease"
"Acute..transverse..myelitis",0,0,0,0,323.2,"Acute (transverse) myelitis"
"Acute.and.chronic.tonsillitis",0,0,0,0,474,"Acute and chronic tonsillitis"
"Acute.and.subacute.necrosis.of.liver",0,3,1,4,573.4,"Acute and subacute necrosis of liver"
"Acute.appendicitis",0,0,0,0,540.11,"Acute appendicitis"
"Acute.bronchitis.and.bronchiolitis",3,4,2,9,483,"Acute bronchitis and bronchiolitis"
"Acute.bronchospasm",0,0,0,0,498,"Acute bronchospasm"
"Acute.cystitis",0,0,0,0,592.11,"Acute cystitis"
"Acute.dermatitis.due.to.solar.radiation",0,0,0,0,938.1,"Acute dermatitis due to solar radiation"
"Acute.febrile.mucocutaneous.lymph.node.syndrome..Kawasaki.disease.",0,0,0,0,446.2,"Acute febrile mucocutaneous lymph node syndrome (Kawasaki disease)"
"Acute.gastritis",0,0,0,0,535.1,"Acute gastritis"
"Acute.glomerulonephritis..NOS",0,0,0,0,580.13,"Acute glomerulonephritis, NOS"
"Acute.graft.versus.host.disease",0,0,0,0,81.11,"Acute graft-versus-host disease"
"Acute.inflammatory.pelvic.disease",0,0,0,0,614.31,"Acute inflammatory pelvic disease"
"Acute.laryngitis.and.tracheitis",0,0,0,0,465.4,"Acute laryngitis and tracheitis"
"Acute.osteomyelitis",0,2,1,3,710.11,"Acute osteomyelitis"
"Acute.pain",2,1,2,5,338.1,"Acute pain"
"Acute.pancreatitis",0,1,1,2,577.1,"Acute pancreatitis"
"Acute.pericarditis",1,2,2,5,420.21,"Acute pericarditis"
"Acute.periodontitis",0,0,0,0,523.31,"Acute periodontitis"
"Acute.pharyngitis",2,3,3,8,465.2,"Acute pharyngitis"
"Acute.posthemorrhagic.anemia",2,2,3,7,285.1,"Acute posthemorrhagic anemia"
"Acute.prostatitis",0,0,0,0,601.11,"Acute prostatitis"
"Acute.pulmonary.heart.disease",0,0,0,0,415.1,"Acute pulmonary heart disease"
"Acute.reaction.to.stress",0,0,0,0,300.8,"Acute reaction to stress"
"Acute.renal.failure",4,4,3,11,585.1,"Acute renal failure"
"Acute.rheumatic.heart.disease",0,0,0,0,394.4,"Acute rheumatic heart disease"
"Acute.sinusitis",3,4,3,10,464,"Acute sinusitis"
"Acute.tonsillitis",0,0,0,0,474.1,"Acute tonsillitis"
"Acute.upper.respiratory.infections.of.multiple.or.unspecified.sites",3,4,3,10,465,"Acute upper respiratory infections of multiple or unspecified sites"
"Acute.vascular.insufficiency.of.intestine",1,0,1,2,441.1,"Acute vascular insufficiency of intestine"
"Adjustment.reaction",0,2,2,4,304,"Adjustment reaction"
"Adrenal.cortical.steroids.causing.adverse.effects.in.therapeutic.use",0,0,0,0,962.1,"Adrenal cortical steroids causing adverse effects in therapeutic use"
"Adrenal.hyperfunction",0,0,0,0,255.1,"Adrenal hyperfunction"
"Adrenal.hypofunction",0,0,0,0,255.2,"Adrenal hypofunction"
"Adrenogenital.disorders",0,0,0,0,255.3,"Adrenogenital disorders"
"Adult.failure.to.thrive",4,2,4,10,260.3,"Adult failure to thrive"
"Adverse.drug.events.and.drug.allergies",0,0,1,1,979,"Adverse drug events and drug allergies"
"Adverse.effects.of.antibacterials..not.penicillins.",0,0,0,0,960.1,"Adverse effects of antibacterials (not penicillins)"
"Adverse.effects.of.sedatives.or.other.central.nervous.system.depressants.and.anesthetics",1,0,0,1,967,"Adverse effects of sedatives or other central nervous system depressants and anesthetics"
"Adverse.reaction.to.serum.or.vaccine",0,0,0,0,941,"Adverse reaction to serum or vaccine"
"Agorophobia..social.phobia..and.panic.disorder",4,0,0,4,300.12,"Agorophobia, social phobia, and panic disorder"
"Alcohol.related.disorders",4,4,4,12,317,"Alcohol-related disorders"
"Alcoholic.liver.damage",3,1,0,4,317.11,"Alcoholic liver damage"
"Alcoholism",4,4,1,9,317.1,"Alcoholism"
"Alkalosis",4,2,0,6,276.42,"Alkalosis"
"Allergic.conjunctivitis",0,1,1,2,371.21,"Allergic conjunctivitis"
"Allergic.purpura",0,0,0,0,287.2,"Allergic purpura"
"Allergic.reaction.to.food",0,0,0,0,930,"Allergic reaction to food"
"Allergic.rhinitis",3,4,3,10,476,"Allergic rhinitis"
"Allergies..other",0,1,0,1,949,"Allergies, other"
"Allergy.adverse.effect.of.penicillin",0,0,0,0,960.2,"Allergy/adverse effect of penicillin"
"Alopecia",0,1,0,1,704.1,"Alopecia"
"Alopecia.Areata",0,0,0,0,704.11,"Alopecia Areata"
"Alpha.1.antitrypsin.deficiency",0,0,0,0,270.34,"Alpha-1-antitrypsin deficiency"
"Alteration.of.consciousness",3,4,4,11,291.8,"Alteration of consciousness"
"Altered.mental.status",3,4,4,11,292.4,"Altered mental status"
"Althete.s.foot",1,0,1,2,110.12,"Althete's foot"
"Amblyopia",0,2,0,2,368.1,"Amblyopia"
"ambulatory_visit",4,4,4,12,NA,NA
"Amyloidosis",4,2,0,6,270.33,"Amyloidosis"
"Amyotrophic.Lateral.Sclerosis",0,0,0,0,334.21,"Amyotrophic Lateral Sclerosis"
"Anal.and.rectal.conditions",0,3,1,4,565,"Anal and rectal conditions"
"Anal.and.rectal.polyp",4,0,0,4,565.1,"Anal and rectal polyp"
"Anaphylactic.shock.NOS",0,1,1,2,946,"Anaphylactic shock NOS"
"Anatomical.abnormatilies.of.kidney.and.ureters",0,0,0,0,586.1,"Anatomical abnormatilies of kidney and ureters"
"Anemia.during.pregnancy",2,1,0,3,644,"Anemia during pregnancy"
"Anemia.in.chronic.kidney.disease",2,2,2,6,285.21,"Anemia in chronic kidney disease"
"Anemia.in.neoplastic.disease",2,2,1,5,285.22,"Anemia in neoplastic disease"
"Anemia.of.chronic.disease",4,2,2,8,285.2,"Anemia of chronic disease"
"Aneurysm.and.dissection.of.heart",0,0,1,1,411.41,"Aneurysm and dissection of heart"
"Aneurysm.of.artery.of.lower.extremity",1,3,0,4,442.3,"Aneurysm of artery of lower extremity"
"Aneurysm.of.iliac.artery",1,0,0,1,442.2,"Aneurysm of iliac artery"
"Aneurysm.of.other.specified.artery",0,2,0,2,442.8,"Aneurysm of other specified artery"
"Angina.pectoris",2,4,2,8,411.3,"Angina pectoris"
"Angiodysplasia.of.intestine..without.mention.of.hemorrhage.",0,0,1,1,556.11,"Angiodysplasia of intestine (without mention of hemorrhage)"
"Anisometropia",0,0,0,0,368.3,"Anisometropia"
"Ankylosing.spondylitis",0,0,0,0,715.2,"Ankylosing spondylitis"
"Ankylosis.of.joint",1,2,0,3,741.1,"Ankylosis of joint"
"Anomalies.of.endocrine.glands..congenital",0,0,0,0,759.1,"Anomalies of endocrine glands, congenital"
"Anomalies.of.jaw.size.symmetry",0,0,0,0,526.3,"Anomalies of jaw size/symmetry"
"Anomalies.of.pupillary.function",0,0,1,1,379.4,"Anomalies of pupillary function"
"Anomalies.of.respiratory.system..congenital",0,0,0,0,748,"Anomalies of respiratory system, congenital"
"Anomalies.of.tooth.position.malocclusion",0,0,0,0,524.3,"Anomalies of tooth position/malocclusion"
"Anomalous.atrioventricular.excitation",1,1,1,3,426.4,"Anomalous atrioventricular excitation"
"Anorexia",3,3,2,8,260.6,"Anorexia"
"Anorexia.nervosa",0,0,0,0,305.21,"Anorexia nervosa"
"Antepartum.hemorrhage..abruptio.placentae..and.placenta.previa",0,0,0,0,635.2,"Antepartum hemorrhage, abruptio placentae, and placenta previa"
"Anterior.horn.cell.disease",0,0,0,0,334.2,"Anterior horn cell disease"
"Anterior.pituitary.disorders",0,0,0,0,253.4,"Anterior pituitary disorders"
"Anticoagulants.causing.adverse.effects",0,0,0,0,964.1,"Anticoagulants causing adverse effects"
"Antihypertensive.agents.causing.adverse.effects",0,0,0,0,972.6,"Antihypertensive agents causing adverse effects"
"Antilipemic.and.antiarteriosclerotic.drugs.causing.adverse.effects.in.therapeutic.use",0,0,0,0,972.2,"Antilipemic and antiarteriosclerotic drugs causing adverse effects in therapeutic use"
"Antineoplastic.and.immunosuppressive.drugs.causing.adverse.effects",1,0,0,1,963.1,"Antineoplastic and immunosuppressive drugs causing adverse effects"
"Antirheumatics.causing.adverse.effects.in.therapeutic.use",0,0,0,0,965.2,"Antirheumatics causing adverse effects in therapeutic use"
"Antisocial.borderline.personality.disorder",0,0,0,0,301.2,"Antisocial/borderline personality disorder"
"Anxiety..phobic.and.dissociative.disorders",0,2,0,2,300,"Anxiety, phobic and dissociative disorders"
"Anxiety.disorder",3,4,4,11,300.1,"Anxiety disorder"
"Aortic.aneurysm",4,1,0,5,442.1,"Aortic aneurysm"
"Aortic.ectasia",0,0,0,0,447.7,"Aortic ectasia"
"Aortic.valve.disease",4,2,4,10,394.3,"Aortic valve disease"
"Aphakia.and.other.disorders.of.lens",0,0,1,1,379.3,"Aphakia and other disorders of lens"
"Aphasia",0,4,4,8,292.11,"Aphasia"
"Aphasia.speech.disturbance",4,3,4,11,292.1,"Aphasia/speech disturbance"
"Aplastic.anemia",0,0,0,0,284,"Aplastic anemia"
"Apnea",0,2,1,3,513.31,"Apnea"
"Appendiceal.conditions",0,0,1,1,540,"Appendiceal conditions"
"Appendicitis",1,1,0,2,540.1,"Appendicitis"
"Arrhythmia..cardiac..NOS",2,4,4,10,427.5,"Arrhythmia (cardiac) NOS"
"Arterial.dissection",0,0,0,0,442.4,"Arterial dissection"
"Arterial.embolism.and.thrombosis",2,2,0,4,444,"Arterial embolism and thrombosis"
"Arterial.embolism.and.thrombosis.of.lower.extremity.artery",3,2,3,8,444.1,"Arterial embolism and thrombosis of lower extremity artery"
"Arteritis.NOS",0,0,0,0,446.9,"Arteritis NOS"
"Arthralgia.ankylosis.of.temporomandibular.joint",0,0,0,0,526.42,"Arthralgia/ankylosis of temporomandibular joint"
"Arthropathy.associated.with.infections",0,0,0,0,711,"Arthropathy associated with infections"
"Arthropathy.associated.with.neurological.disorders",0,0,0,0,713.5,"Arthropathy associated with neurological disorders"
"Arthropathy.associated.with.other.disorders.classified.elsewhere",0,0,0,0,713,"Arthropathy associated with other disorders classified elsewhere"
"Arthropathy.NOS",3,4,4,11,716.9,"Arthropathy NOS"
"Arthropod.borne.diseases",0,0,0,0,133,"Arthropod-borne diseases"
"Articular.cartilage.disorder",1,0,1,2,742.8,"Articular cartilage disorder"
"Ascites..non.malignant.",1,1,1,3,572,"Ascites (non malignant)"
"ASCVD",2,1,2,5,414.2,"ASCVD"
"Aseptic.necrosis.of.bone",2,1,0,3,733.4,"Aseptic necrosis of bone"
"Aspergillosis",0,0,0,0,117.4,"Aspergillosis"
"Asthma",3,3,3,9,495,"Asthma"
"Asthma.with.exacerbation",1,2,1,4,495.2,"Asthma with exacerbation"
"Astigmatism",3,2,1,6,367.2,"Astigmatism"
"Atheroembolism",0,0,0,0,444.5,"Atheroembolism"
"Atherosclerosis",0,1,0,1,440,"Atherosclerosis"
"Atherosclerosis.of.aorta",4,4,4,12,440.9,"Atherosclerosis of aorta"
"Atherosclerosis.of.native.arteries.of.the.extremities.with.intermittent.claudication",1,1,2,4,440.22,"Atherosclerosis of native arteries of the extremities with intermittent claudication"
"Atherosclerosis.of.native.arteries.of.the.extremities.with.ulceration.or.gangrene",1,2,1,4,440.21,"Atherosclerosis of native arteries of the extremities with ulceration or gangrene"
"Atherosclerosis.of.renal.artery",3,1,0,4,440.1,"Atherosclerosis of renal artery"
"Atherosclerosis.of.the.extremities",0,2,1,3,440.2,"Atherosclerosis of the extremities"
"Atopic.contact.dermatitis.due.to.other.or.unspecified",3,4,3,10,939,"Atopic/contact dermatitis due to other or unspecified"
"Atrial.fibrillation",1,4,4,9,427.21,"Atrial fibrillation"
"Atrial.fibrillation.and.flutter",0,0,0,0,427.2,"Atrial fibrillation and flutter"
"Atrial.flutter",0,1,3,4,427.22,"Atrial flutter"
"Atrioventricular..AV..block",0,0,1,1,426.2,"Atrioventricular [AV] block"
"Atrioventricular.block..complete",1,1,3,5,426.24,"Atrioventricular block, complete"
"Atrophic.gastritis",1,1,1,3,535.2,"Atrophic gastritis"
"Atrophy.of.edentulous.alveolar.ridge",0,0,0,0,525.2,"Atrophy of edentulous alveolar ridge"
"Atrophy.of.female.genital.tract",0,0,0,0,624.2,"Atrophy of female genital tract"
"Attention.deficit.hyperactivity.disorder",0,0,1,1,313.1,"Attention deficit hyperactivity disorder"
"Autism",0,0,0,0,313.3,"Autism"
"Autoimmune.disease.NEC",0,0,2,2,279.2,"Autoimmune disease NEC"
"Autoimmune.hemolytic.anemias",1,2,0,3,283.1,"Autoimmune hemolytic anemias"
"Azoospermia.and.oligospermia",0,0,0,0,609.11,"Azoospermia and oligospermia"
"Back.pain",4,4,4,12,760,"Back pain"
"Bacteremia",2,2,2,6,38.3,"Bacteremia"
"Bacterial.enteritis",1,0,0,1,8.5,"Bacterial enteritis"
"Bacterial.infection.NOS",3,4,4,11,41,"Bacterial infection NOS"
"Bacterial.pneumonia",2,1,4,7,480.1,"Bacterial pneumonia"
"Balanoposthitis",0,0,0,0,601.4,"Balanoposthitis"
"Bariatric.surgery",0,0,0,0,539,"Bariatric surgery"
"Barrett.s.esophagus",2,2,1,5,530.13,"Barrett's esophagus"
"Basal.cell.carcinoma",2,1,1,4,172.21,"Basal cell carcinoma"
"Behcet.s.syndrome",0,0,0,0,711.3,"Behcet's syndrome"
"Benign.neoplasm.of.adrenal.gland",0,0,0,0,227.1,"Benign neoplasm of adrenal gland"
"Benign.neoplasm.of.bone.and.articular.cartilage",0,0,0,0,213,"Benign neoplasm of bone and articular cartilage"
"Benign.neoplasm.of.brain..cranial.nerves..meninges",0,0,0,0,225.1,"Benign neoplasm of brain, cranial nerves, meninges"
"Benign.neoplasm.of.brain.and.other.parts.of.nervous.system",0,0,0,0,225,"Benign neoplasm of brain and other parts of nervous system"
"Benign.neoplasm.of.breast",0,0,0,0,610.4,"Benign neoplasm of breast"
"Benign.neoplasm.of.colon",4,4,4,12,208,"Benign neoplasm of colon"
"Benign.neoplasm.of.eye",0,0,0,0,224,"Benign neoplasm of eye"
"Benign.neoplasm.of.eye..uveal",0,0,0,0,224.1,"Benign neoplasm of eye, uveal"
"Benign.neoplasm.of.kidney.and.other.urinary.organs",1,0,1,2,223,"Benign neoplasm of kidney and other urinary organs"
"Benign.neoplasm.of.lip..oral.cavity..and.pharynx",0,0,0,0,210,"Benign neoplasm of lip, oral cavity, and pharynx"
"Benign.neoplasm.of.lymph.nodes",0,0,0,0,229.1,"Benign neoplasm of lymph nodes"
"Benign.neoplasm.of.male.genital.organs",0,0,0,0,222,"Benign neoplasm of male genital organs"
"Benign.neoplasm.of.other.endocrine.glands.and.related.structures",0,0,0,0,227,"Benign neoplasm of other endocrine glands and related structures"
"Benign.neoplasm.of.other.female.genital.organs",0,0,0,0,221,"Benign neoplasm of other female genital organs"
"Benign.neoplasm.of.other.parts.of.digestive.system",3,0,0,3,211,"Benign neoplasm of other parts of digestive system"
"Benign.neoplasm.of.ovary",0,0,0,0,220,"Benign neoplasm of ovary"
"Benign.neoplasm.of.parathyroid.gland",0,0,0,0,227.2,"Benign neoplasm of parathyroid gland"
"Benign.neoplasm.of.pituitary.gland.and.craniopharyngeal.duct..pouch.",0,0,0,0,227.3,"Benign neoplasm of pituitary gland and craniopharyngeal duct (pouch)"
"Benign.neoplasm.of.respiratory.and.intrathoracic.organs",0,0,0,0,212,"Benign neoplasm of respiratory and intrathoracic organs"
"Benign.neoplasm.of.skin",1,3,4,8,216,"Benign neoplasm of skin"
"Benign.neoplasm.of.spinal.cord..meninges",0,0,0,0,225.2,"Benign neoplasm of spinal cord, meninges"
"Benign.neoplasm.of.thyroid.glands",0,0,0,0,226,"Benign neoplasm of thyroid glands"
"Benign.neoplasm.of.unspecified.sites",2,0,0,2,229,"Benign neoplasm of unspecified sites"
"Bipolar",4,4,1,9,296.1,"Bipolar"
"Bladder.neck.obstruction",0,0,0,0,596.1,"Bladder neck obstruction"
"Blastomycotic.infection",0,0,0,0,117.3,"Blastomycotic infection"
"Blindness.and.low.vision",1,2,1,4,367.9,"Blindness and low vision"
"Blister",2,0,1,3,911,"Blister"
"Blood.in.stool",3,4,4,11,578.2,"Blood in stool"
"Bone.cancer",0,0,0,0,170.1,"Bone cancer"
"Bone.marrow.or.stem.cell.transplant",0,0,0,0,860,"Bone marrow or stem cell transplant"
"Breast.cancer",0,0,0,0,174,"Breast cancer"
"Breast.cancer..female.",0,0,0,0,174.1,"Breast cancer [female]"
"Breast.cancer..male.",0,0,0,0,174.2,"Breast cancer [male]"
"Breast.conditions..congenital.or.relating.to.hormones",0,0,0,0,612,"Breast conditions, congenital or relating to hormones"
"Breast.disorder.NOS",0,0,0,0,613.9,"Breast disorder NOS"
"Broken.tooth",0,0,0,0,873,"Broken tooth"
"Bronchiectasis",0,1,1,2,496.3,"Bronchiectasis"
"Bronchitis",2,1,0,3,497,"Bronchitis"
"Bronchopneumonia.and.lung.abscess",0,0,0,0,480.5,"Bronchopneumonia and lung abscess"
"Bullous.dermatoses",0,0,0,0,695.2,"Bullous dermatoses"
"Bundle.branch.block",0,1,0,1,426.3,"Bundle branch block"
"Burns",0,0,0,0,1000,"Burns"
"Bursitis",0,0,0,0,726.3,"Bursitis"
"Bursitis.disorders",0,0,0,0,727.2,"Bursitis disorders"
"Cachexia",4,2,4,10,260.1,"Cachexia"
"Calcaneal.spur..Exostosis.NOS",0,1,1,2,726.4,"Calcaneal spur; Exostosis NOS"
"Calculus.of.bile.duct",0,0,1,1,574.2,"Calculus of bile duct"
"Calculus.of.kidney",1,3,2,6,594.1,"Calculus of kidney"
"Calculus.of.lower.urinary.tract",0,0,0,0,594.2,"Calculus of lower urinary tract"
"Calculus.of.ureter",0,0,0,0,594.3,"Calculus of ureter"
"Cancer..suspected.or.other",1,0,0,1,195,"Cancer, suspected or other"
"Cancer.of.bladder",0,0,0,0,189.2,"Cancer of bladder"
"Cancer.of.brain",4,3,0,7,191.11,"Cancer of brain"
"Cancer.of.brain.and.nervous.system",1,0,0,1,191.1,"Cancer of brain and nervous system"
"Cancer.of.bronchus..lung",0,1,4,5,165.1,"Cancer of bronchus; lung"
"Cancer.of.connective.tissue",0,0,0,0,170.2,"Cancer of connective tissue"
"Cancer.of.esophagus",0,0,0,0,150,"Cancer of esophagus"
"Cancer.of.eye",0,0,0,0,190,"Cancer of eye"
"Cancer.of.hypopharynx",1,1,0,2,149.3,"Cancer of hypopharynx"
"Cancer.of.intrathoracic.organs",0,0,0,0,164,"Cancer of intrathoracic organs"
"Cancer.of.larynx",0,2,0,2,149.4,"Cancer of larynx"
"Cancer.of.larynx..pharynx..nasal.cavities",0,0,0,0,149,"Cancer of larynx, pharynx, nasal cavities"
"Cancer.of.lip",0,0,0,0,145.1,"Cancer of lip"
"Cancer.of.liver.and.intrahepatic.bile.duct",0,0,0,0,155,"Cancer of liver and intrahepatic bile duct"
"Cancer.of.major.salivary.glands",2,2,0,4,145.3,"Cancer of major salivary glands"
"Cancer.of.mouth",2,0,0,2,145,"Cancer of mouth"
"Cancer.of.nasopharynx",0,0,0,0,149.2,"Cancer of nasopharynx"
"Cancer.of.of.nasal.cavities",0,0,0,0,149.9,"Cancer of of nasal cavities"
"Cancer.of.oropharynx",0,0,0,0,149.1,"Cancer of oropharynx"
"Cancer.of.other.endocrine.glands",0,0,0,0,194,"Cancer of other endocrine glands"
"Cancer.of.other.female.genital.organs",0,0,0,0,184,"Cancer of other female genital organs"
"Cancer.of.other.female.genital.organs..excluding.uterus.and.ovary",0,0,0,0,184.2,"Cancer of other female genital organs, excluding uterus and ovary"
"Cancer.of.other.lymphoid..histiocytic.tissue",0,0,0,0,202,"Cancer of other lymphoid, histiocytic tissue"
"Cancer.of.other.male.genital.organs",0,0,0,0,187,"Cancer of other male genital organs"
"Cancer.of.prostate",3,4,3,10,185,"Cancer of prostate"
"Cancer.of.stomach",0,0,0,0,151,"Cancer of stomach"
"Cancer.of.the.gums",0,0,0,0,145.4,"Cancer of the gums"
"Cancer.of.the.mouth.floor",0,0,0,0,145.5,"Cancer of the mouth floor"
"Cancer.of.tongue",0,0,0,0,145.2,"Cancer of tongue"
"Cancer.of.urinary.organs..incl..kidney.and.bladder.",0,0,0,0,189,"Cancer of urinary organs (incl. kidney and bladder)"
"Cancer.within.the.respiratory.system",1,2,2,5,165,"Cancer within the respiratory system"
"Candidiasis",2,1,1,4,112,"Candidiasis"
"Candidiasis.of.skin.and.nails",0,1,0,1,112.3,"Candidiasis of skin and nails"
"Carbuncle.and.furuncle",0,0,1,1,686.1,"Carbuncle and furuncle"
"Carcinoid.syndrome",0,0,0,0,259.2,"Carcinoid syndrome"
"Carcinoma.in.situ.of.skin",1,2,4,7,172.3,"Carcinoma in situ of skin"
"Cardiac.and.circulatory.congenital.anomalies",0,0,0,0,747,"Cardiac and circulatory congenital anomalies"
"Cardiac.arrest",1,1,0,2,427.42,"Cardiac arrest"
"Cardiac.arrest.and.ventricular.fibrillation",0,0,0,0,427.4,"Cardiac arrest and ventricular fibrillation"
"Cardiac.complications..not.elsewhere.classified",1,1,2,4,429.9,"Cardiac complications, not elsewhere classified"
"Cardiac.conduction.disorders",0,0,0,0,426,"Cardiac conduction disorders"
"Cardiac.congenital.anomalies",0,0,1,1,747.1,"Cardiac congenital anomalies"
"Cardiac.defibrillator.in.situ",1,0,1,2,426.92,"Cardiac defibrillator in situ"
"Cardiac.pacemaker.in.situ",0,1,2,3,426.91,"Cardiac pacemaker in situ"
"Cardiac.rhythm.regulators.causing.adverse.effects.in.therapeutic.use",0,0,0,0,972.1,"Cardiac rhythm regulators causing adverse effects in therapeutic use"
"Cardiac.shunt..heart.septal.defect",1,0,0,1,747.11,"Cardiac shunt/ heart septal defect"
"Cardiogenic.shock",4,1,0,5,797.1,"Cardiogenic shock"
"Cardiomegaly",4,4,2,10,416,"Cardiomegaly"
"Cardiomyopathy",0,0,0,0,425,"Cardiomyopathy"
"Cataplexy.and.narcolepsy",1,0,0,1,347,"Cataplexy and narcolepsy"
"Cataract",2,4,4,10,366,"Cataract"
"Celiac.disease",2,0,0,2,557.1,"Celiac disease"
"Cellulitis.and.abscess.of.arm.hand",0,1,1,2,681.3,"Cellulitis and abscess of arm/hand"
"Cellulitis.and.abscess.of.face.neck",0,1,1,2,681.2,"Cellulitis and abscess of face/neck"
"Cellulitis.and.abscess.of.fingers.toes",0,1,1,2,681.1,"Cellulitis and abscess of fingers/toes"
"Cellulitis.and.abscess.of.foot..toe",0,2,1,3,681.6,"Cellulitis and abscess of foot, toe"
"Cellulitis.and.abscess.of.leg..except.foot",3,1,3,7,681.5,"Cellulitis and abscess of leg, except foot"
"Cellulitis.and.abscess.of.oral.soft.tissues",0,0,0,0,528.3,"Cellulitis and abscess of oral soft tissues"
