feature,num_methods_outof3_feature_important_AD,num_methods_outof3_feature_important_PD,num_methods_outof3_feature_important_Dementia,num_methods_outof9_finding_feature_important,PheCode,Phenotype
Dermatophytosis...Dermatomycosis,0,0,0,0,110,Dermatophytosis / Dermatomycosis
Dermatophytosis,0,0,0,0,110.1,Dermatophytosis
Dermatophytosis.of.nail,2,1,3,6,110.11,Dermatophytosis of nail
Althete.s.foot,0,0,0,0,110.12,Althete's foot
Dermatophytosis.of.the.body,0,0,0,0,110.13,Dermatophytosis of the body
Dermatomycoses,1,0,0,1,110.2,Dermatomycoses
Candidiasis,1,1,1,3,112,Candidiasis
Candidiasis.of.skin.and.nails,0,1,0,1,112.3,Candidiasis of skin and nails
Mycoses,0,1,0,1,117,Mycoses
Histoplasmosis,0,0,0,0,117.1,Histoplasmosis
Coccidioidomycosis,0,0,0,0,117.2,Coccidioidomycosis
Blastomycotic.infection,0,0,0,0,117.3,Blastomycotic infection
Aspergillosis,0,0,0,0,117.4,Aspergillosis
Spirochetal.infection,0,2,2,4,130,Spirochetal infection
Lyme.disease,0,2,2,4,130.1,Lyme disease
Protozoan.infection,0,0,0,0,131,Protozoan infection
Infestation..lice..mites.,0,0,0,0,132,"Infestation (lice, mites)"
Pediculosis.and.phthirus.infestation,0,0,0,0,132.1,Pediculosis and phthirus infestation
Arthropod.borne.diseases,0,0,0,0,133,Arthropod-borne diseases
Helminthiases,0,0,0,0,134,Helminthiases
Intestinal.helminthiases,0,0,0,0,134.1,Intestinal helminthiases
Other.infectious.and.parasitic.diseases,0,0,0,0,136,Other infectious and parasitic diseases
Cancer.of.mouth,2,0,0,2,145,Cancer of mouth
Cancer.of.lip,0,0,0,0,145.1,Cancer of lip
Cancer.of.tongue,0,0,0,0,145.2,Cancer of tongue
Cancer.of.major.salivary.glands,2,2,0,4,145.3,Cancer of major salivary glands
Cancer.of.the.gums,0,0,0,0,145.4,Cancer of the gums
Cancer.of.the.mouth.floor,0,0,0,0,145.5,Cancer of the mouth floor
Cancer.of.larynx..pharynx..nasal.cavities,0,0,0,0,149,"Cancer of larynx, pharynx, nasal cavities"
Cancer.of.oropharynx,0,0,0,0,149.1,Cancer of oropharynx
Cancer.of.nasopharynx,0,0,0,0,149.2,Cancer of nasopharynx
Cancer.of.hypopharynx,1,1,0,2,149.3,Cancer of hypopharynx
Cancer.of.larynx,0,2,0,2,149.4,Cancer of larynx
Cancer.of.of.nasal.cavities,0,0,0,0,149.9,Cancer of of nasal cavities
Cancer.of.esophagus,0,0,0,0,150,Cancer of esophagus
Cancer.of.stomach,0,0,0,0,151,Cancer of stomach
Colorectal.cancer,0,0,0,0,153,Colorectal cancer
Colon.cancer,0,0,0,0,153.2,Colon cancer
Malignant.neoplasm.of.rectum..rectosigmoid.junction..and.anus,0,0,0,0,153.3,"Malignant neoplasm of rectum, rectosigmoid junction, and anus"
Cancer.of.liver.and.intrahepatic.bile.duct,0,0,0,0,155,Cancer of liver and intrahepatic bile duct
Malignant.neoplasm.of.liver..primary,1,0,0,1,155.1,"Malignant neoplasm of liver, primary"
Pancreatic.cancer,0,0,0,0,157,Pancreatic cancer
Neoplasm.of.unspecified.nature.of.digestive.system,0,0,0,0,158,Neoplasm of unspecified nature of digestive system
Malignant.neoplasm.of.other.and.ill.defined.sites.within.the.digestive.organs.and.peritoneum,0,0,0,0,159,Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum
Malignant.neoplasm.of.small.intestine..including.duodenum,0,0,0,0,159.2,"Malignant neoplasm of small intestine, including duodenum"
Malignant.neoplasm.of.gallbladder.and.extrahepatic.bile.ducts,0,0,0,0,159.3,Malignant neoplasm of gallbladder and extrahepatic bile ducts
Malignant.neoplasm.of.retroperitoneum.and.peritoneum,0,0,0,0,159.4,Malignant neoplasm of retroperitoneum and peritoneum
Cancer.of.intrathoracic.organs,0,0,0,0,164,Cancer of intrathoracic organs
Cancer.within.the.respiratory.system,1,2,2,5,165,Cancer within the respiratory system
Cancer.of.bronchus..lung,0,1,3,4,165.1,Cancer of bronchus; lung
Bone.cancer,0,0,0,0,170.1,Bone cancer
Cancer.of.connective.tissue,0,0,0,0,170.2,Cancer of connective tissue
Skin.cancer,0,0,0,0,172,Skin cancer
Melanomas.of.skin,0,3,1,4,172.11,Melanomas of skin
Other.non.epithelial.cancer.of.skin,0,0,2,2,172.2,Other non-epithelial cancer of skin
Basal.cell.carcinoma,2,1,1,4,172.21,Basal cell carcinoma
Squamous.cell.carcinoma,0,0,2,2,172.22,Squamous cell carcinoma
Carcinoma.in.situ.of.skin,0,2,3,5,172.3,Carcinoma in situ of skin
Neoplasm.of.uncertain.behavior.of.skin,0,3,1,4,173,Neoplasm of uncertain behavior of skin
Breast.cancer,0,0,0,0,174,Breast cancer
Breast.cancer..female.,0,0,0,0,174.1,Breast cancer [female]
Malignant.neoplasm.of.female.breast,1,3,3,7,174.11,Malignant neoplasm of female breast
Breast.cancer..male.,0,0,0,0,174.2,Breast cancer [male]
Neoplasm.of.uncertain.behavior.of.breast,0,0,0,0,174.3,Neoplasm of uncertain behavior of breast
Acquired.absence.of.breast,0,0,0,0,175,Acquired absence of breast
Cervical.cancer.and.dysplasia,0,0,0,0,180,Cervical cancer and dysplasia
Cervical.cancer,0,0,0,0,180.1,Cervical cancer
Cervical.intraepithelial.neoplasia..CIN...Cervical.dysplasia.,0,0,0,0,180.3,Cervical intraepithelial neoplasia [CIN] [Cervical dysplasia]
Malignant.neoplasm.of.uterus,0,1,0,1,182,Malignant neoplasm of uterus
Cancer.of.other.female.genital.organs,0,0,0,0,184,Cancer of other female genital organs
Malignant.neoplasm.of.ovary.and.other.uterine.adnexa,0,0,0,0,184.1,Malignant neoplasm of ovary and other uterine adnexa
Malignant.neoplasm.of.ovary,0,0,0,0,184.11,Malignant neoplasm of ovary
Cancer.of.other.female.genital.organs..excluding.uterus.and.ovary,0,0,0,0,184.2,"Cancer of other female genital organs, excluding uterus and ovary"
Cancer.of.prostate,2,3,2,7,185,Cancer of prostate
Cancer.of.other.male.genital.organs,0,0,0,0,187,Cancer of other male genital organs
Malignant.neoplasm.of.unspecified.male.genital.organ,0,0,0,0,187.1,Malignant neoplasm of unspecified male genital organ
Malignant.neoplasm.of.testis,2,0,0,2,187.2,Malignant neoplasm of testis
Neoplasm.of.uncertain.behavior.of.male.genital.organs,0,0,0,0,187.8,Neoplasm of uncertain behavior of male genital organs
Cancer.of.urinary.organs..incl..kidney.and.bladder.,0,0,0,0,189,Cancer of urinary organs (incl. kidney and bladder)
Malignant.neoplasm.of.kidney..except.pelvis,2,0,1,3,189.11,"Malignant neoplasm of kidney, except pelvis"
Malignant.neoplasm.of.renal.pelvis,0,0,0,0,189.12,Malignant neoplasm of renal pelvis
Cancer.of.bladder,0,0,0,0,189.2,Cancer of bladder
Malignant.neoplasm.of.bladder,0,1,0,1,189.21,Malignant neoplasm of bladder
Malignant.neoplasm.of.other.urinary.organs,0,0,0,0,189.4,Malignant neoplasm of other urinary organs
Cancer.of.eye,0,0,0,0,190,Cancer of eye
Manlignant.and.unknown.neoplasms.of.brain.and.nervous.system,1,0,0,1,191,Manlignant and unknown neoplasms of brain and nervous system
Cancer.of.brain.and.nervous.system,0,0,0,0,191.1,Cancer of brain and nervous system
Cancer.of.brain,3,3,0,6,191.11,Cancer of brain
Thyroid.cancer,0,0,0,0,193,Thyroid cancer
Cancer.of.other.endocrine.glands,0,0,0,0,194,Cancer of other endocrine glands
Cancer..suspected.or.other,0,0,0,0,195,"Cancer, suspected or other"
Malignant.neoplasm..other,2,1,3,6,195.1,"Malignant neoplasm, other"
Malignant.neoplasm.of.head..face..and.neck,0,0,0,0,195.3,"Malignant neoplasm of head, face, and neck"
Secondary.malignant.neoplasm,0,0,1,1,198,Secondary malignant neoplasm
Secondary.malignancy.of.lymph.nodes,1,2,0,3,198.1,Secondary malignancy of lymph nodes
Secondary.malignancy.of.respiratory.organs,0,0,1,1,198.2,Secondary malignancy of respiratory organs
Secondary.malignant.neoplasm.of.digestive.systems,0,0,0,0,198.3,Secondary malignant neoplasm of digestive systems
Secondary.malignant.neoplasm.of.liver,0,3,0,3,198.4,Secondary malignant neoplasm of liver
Secondary.malignancy.of.brain.spine,0,0,3,3,198.5,Secondary malignancy of brain/spine
Secondary.malignancy.of.bone,2,2,1,5,198.6,Secondary malignancy of bone
Secondary.malignant.neoplasm.of.skin,0,0,0,0,198.7,Secondary malignant neoplasm of skin
Neoplasm.of.uncertain.behavior,2,0,0,2,199,Neoplasm of uncertain behavior
Neurofibromatosis,0,0,0,0,199.4,Neurofibromatosis
Myeloproliferative.disease,3,3,0,6,200,Myeloproliferative disease
Polycythemia.vera,0,0,0,0,200.1,Polycythemia vera
Hodgkin.s.disease,0,0,0,0,201,Hodgkin's disease
Cancer.of.other.lymphoid..histiocytic.tissue,0,0,0,0,202,"Cancer of other lymphoid, histiocytic tissue"
Non.Hodgkins.lymphoma,0,0,1,1,202.2,Non-Hodgkins lymphoma
Nodular.lymphoma,0,0,0,0,202.21,Nodular lymphoma
Reticulosarcoma,0,0,0,0,202.22,Reticulosarcoma
Lymphosarcoma,0,0,0,0,202.23,Lymphosarcoma
Large.cell.lymphoma,2,2,2,6,202.24,Large cell lymphoma
Leukemia,0,0,0,0,204,Leukemia
Lymphoid.leukemia,0,0,0,0,204.1,Lymphoid leukemia
Lymphoid.leukemia..acute,0,0,0,0,204.11,"Lymphoid leukemia, acute"
Lymphoid.leukemia..chronic,0,0,0,0,204.12,"Lymphoid leukemia, chronic"
Myeloid.leukemia,0,0,0,0,204.2,Myeloid leukemia
Myeloid.leukemia..acute,0,0,0,0,204.21,"Myeloid leukemia, acute"
Myeloid.leukemia..chronic,0,0,0,0,204.22,"Myeloid leukemia, chronic"
Monocytic.leukemia,0,0,0,0,204.3,Monocytic leukemia
Multiple.myeloma,0,0,1,1,204.4,Multiple myeloma
Benign.neoplasm.of.colon,3,3,3,9,208,Benign neoplasm of colon
Neuroendocrine.tumors,0,0,0,0,209,Neuroendocrine tumors
Benign.neoplasm.of.lip..oral.cavity..and.pharynx,0,0,0,0,210,"Benign neoplasm of lip, oral cavity, and pharynx"
Benign.neoplasm.of.other.parts.of.digestive.system,3,0,0,3,211,Benign neoplasm of other parts of digestive system
Benign.neoplasm.of.respiratory.and.intrathoracic.organs,0,0,0,0,212,Benign neoplasm of respiratory and intrathoracic organs
Benign.neoplasm.of.bone.and.articular.cartilage,0,0,0,0,213,Benign neoplasm of bone and articular cartilage
Lipoma,0,0,0,0,214,Lipoma
Lipoma.of.skin.and.subcutaneous.tissue,0,0,0,0,214.1,Lipoma of skin and subcutaneous tissue
Other.benign.neoplasm.of.connective.and.other.soft.tissue,2,0,0,2,215,Other benign neoplasm of connective and other soft tissue
Benign.neoplasm.of.skin,0,2,3,5,216,Benign neoplasm of skin
Vascular.hamartomas.and.non.neoplastic.nevi,0,0,0,0,217,Vascular hamartomas and non-neoplastic nevi
Nevus..non.neoplastic,0,0,1,1,217.1,"Nevus, non-neoplastic"
Uterine.leiomyoma,0,1,0,1,218.1,Uterine leiomyoma
Other.benign.neoplasm.of.uterus,0,0,0,0,218.2,Other benign neoplasm of uterus
Benign.neoplasm.of.ovary,0,0,0,0,220,Benign neoplasm of ovary
Benign.neoplasm.of.other.female.genital.organs,0,0,0,0,221,Benign neoplasm of other female genital organs
Benign.neoplasm.of.male.genital.organs,0,0,0,0,222,Benign neoplasm of male genital organs
Benign.neoplasm.of.kidney.and.other.urinary.organs,0,0,0,0,223,Benign neoplasm of kidney and other urinary organs
Benign.neoplasm.of.eye,0,0,0,0,224,Benign neoplasm of eye
Benign.neoplasm.of.eye..uveal,0,0,0,0,224.1,"Benign neoplasm of eye, uveal"
Benign.neoplasm.of.brain.and.other.parts.of.nervous.system,0,0,0,0,225,Benign neoplasm of brain and other parts of nervous system
Benign.neoplasm.of.brain..cranial.nerves..meninges,0,0,0,0,225.1,"Benign neoplasm of brain, cranial nerves, meninges"
Benign.neoplasm.of.spinal.cord..meninges,0,0,0,0,225.2,"Benign neoplasm of spinal cord, meninges"
Benign.neoplasm.of.thyroid.glands,0,0,0,0,226,Benign neoplasm of thyroid glands
Benign.neoplasm.of.other.endocrine.glands.and.related.structures,0,0,0,0,227,Benign neoplasm of other endocrine glands and related structures
Benign.neoplasm.of.adrenal.gland,0,0,0,0,227.1,Benign neoplasm of adrenal gland
Benign.neoplasm.of.parathyroid.gland,0,0,0,0,227.2,Benign neoplasm of parathyroid gland
Benign.neoplasm.of.pituitary.gland.and.craniopharyngeal.duct..pouch.,0,0,0,0,227.3,Benign neoplasm of pituitary gland and craniopharyngeal duct (pouch)
Hemangioma.and.lymphangioma..any.site,0,0,0,0,228,"Hemangioma and lymphangioma, any site"
Hemangioma.of.skin.and.subcutaneous.tissue,0,0,0,0,228.1,Hemangioma of skin and subcutaneous tissue
Benign.neoplasm.of.unspecified.sites,2,0,0,2,229,Benign neoplasm of unspecified sites
Benign.neoplasm.of.lymph.nodes,0,0,0,0,229.1,Benign neoplasm of lymph nodes
Kaposi.s.sarcoma,0,0,0,0,230,Kaposi's sarcoma
Simple.and.unspecified.goiter,1,1,0,2,240,Simple and unspecified goiter
Nontoxic.nodular.goiter,0,2,0,2,241,Nontoxic nodular goiter
Nontoxic.uninodular.goiter,3,1,3,7,241.1,Nontoxic uninodular goiter
Nontoxic.multinodular.goiter,2,3,1,6,241.2,Nontoxic multinodular goiter
Thyrotoxicosis.with.or.without.goiter,0,2,3,5,242,Thyrotoxicosis with or without goiter
Graves..disease,0,0,0,0,242.1,Graves' disease
Toxic.multinodular.goiter,0,0,0,0,242.2,Toxic multinodular goiter
Exophthalmos,0,0,0,0,242.3,Exophthalmos
Thyrotoxic.exophthalmos,0,0,0,0,242.31,Thyrotoxic exophthalmos
Hypothyroidism,0,0,0,0,244,Hypothyroidism
Secondary.hypothyroidism,0,1,0,1,244.1,Secondary hypothyroidism
Acquired.hypothyroidism,0,3,3,6,244.2,Acquired hypothyroidism
Iodine.hypothyroidism,0,0,0,0,244.3,Iodine hypothyroidism
Hypothyroidism.NOS,2,2,2,6,244.4,Hypothyroidism NOS
Congenital.hypothyroidism,0,0,0,0,244.5,Congenital hypothyroidism
Thyroiditis,0,0,0,0,245,Thyroiditis
Thyroiditis..acute.and.subacute,0,0,0,0,245.1,"Thyroiditis, acute and subacute"
Chronic.thyroiditis,2,0,0,2,245.2,Chronic thyroiditis
Chronic.lymphocytic.thyroiditis,0,0,1,1,245.21,Chronic lymphocytic thyroiditis
Other.disorders.of.thyroid,2,2,2,6,246,Other disorders of thyroid
Thyroid.cyst,0,0,0,0,246.2,Thyroid cyst
Abnormal.results.of.function.study.of.thyroid,0,1,0,1,246.7,Abnormal results of function study of thyroid
Secondary.diabetes.mellitus,0,1,0,1,249,Secondary diabetes mellitus
Diabetes.mellitus,2,1,3,6,250,Diabetes mellitus
Type.1.diabetes,2,3,1,6,250.1,Type 1 diabetes
Type.1.diabetes.with.ketoacidosis,0,0,0,0,250.11,Type 1 diabetes with ketoacidosis
Type.1.diabetes.with.renal.manifestations,0,0,0,0,250.12,Type 1 diabetes with renal manifestations
Type.1.diabetes.with.ophthalmic.manifestations,0,0,0,0,250.13,Type 1 diabetes with ophthalmic manifestations
Type.1.diabetes.with.neurological.manifestations,0,0,0,0,250.14,Type 1 diabetes with neurological manifestations
Diabetes.type.1.with.peripheral.circulatory.disorders,0,0,0,0,250.15,Diabetes type 1 with peripheral circulatory disorders
Type.2.diabetes,3,3,1,7,250.2,Type 2 diabetes
Type.2.diabetes.with.ketoacidosis,0,0,1,1,250.21,Type 2 diabetes with ketoacidosis
Type.2.diabetes.with.renal.manifestations,1,1,1,3,250.22,Type 2 diabetes with renal manifestations
Type.2.diabetes.with.ophthalmic.manifestations,0,1,1,2,250.23,Type 2 diabetes with ophthalmic manifestations
Type.2.diabetes.with.neurological.manifestations,3,1,1,5,250.24,Type 2 diabetes with neurological manifestations
Diabetes.type.2.with.peripheral.circulatory.disorders,0,1,1,2,250.25,Diabetes type 2 with peripheral circulatory disorders
Abnormal.glucose,0,0,0,0,250.4,Abnormal glucose
Impaired.fasting.glucose,2,0,0,2,250.41,Impaired fasting glucose
Other.abnormal.glucose,1,3,3,7,250.42,Other abnormal glucose
Glycosuria.or.Acetonuria,0,0,0,0,250.5,Glycosuria or Acetonuria
Polyneuropathy.in.diabetes,3,1,1,5,250.6,Polyneuropathy in diabetes
Diabetic.retinopathy,2,1,1,4,250.7,Diabetic retinopathy
Other.disorders.of.pancreatic.internal.secretion,0,0,0,0,251,Other disorders of pancreatic internal secretion
Hypoglycemia,1,2,2,5,251.1,Hypoglycemia
Abnormality.of.secretion.of.glucagon.or.gastrin,2,1,0,3,251.8,Abnormality of secretion of glucagon or gastrin
Disorders.of.parathyroid.gland,0,0,0,0,252,Disorders of parathyroid gland
Hyperparathyroidism,2,1,0,3,252.1,Hyperparathyroidism
Hypoparathyroidism,0,0,0,0,252.2,Hypoparathyroidism
Disorders.of.the.pituitary.gland.and.its.hypothalamic.control,0,0,0,0,253,Disorders of the pituitary gland and its hypothalamic control
Pituitary.hyperfunction,0,0,0,0,253.1,Pituitary hyperfunction
Acromegaly.and.gigantism,0,0,0,0,253.11,Acromegaly and gigantism
Pituitary.hypofunction,0,0,0,0,253.2,Pituitary hypofunction
Diabetes.insipidus,0,0,0,0,253.3,Diabetes insipidus
Anterior.pituitary.disorders,0,0,0,0,253.4,Anterior pituitary disorders
Other.disorders.of.neurohypophysis,3,1,1,5,253.7,Other disorders of neurohypophysis
Diseases.of.thymus.gland,0,0,0,0,254,Diseases of thymus gland
Disorders.of.adrenal.glands,2,1,0,3,255,Disorders of adrenal glands
Adrenal.hyperfunction,0,0,0,0,255.1,Adrenal hyperfunction
Cushing.s.syndrome,0,0,0,0,255.11,Cushing's syndrome
Hyperaldosteronism,0,0,0,0,255.12,Hyperaldosteronism
Medulloadrenal.hyperfunction,0,0,0,0,255.13,Medulloadrenal hyperfunction
Adrenal.hypofunction,0,0,0,0,255.2,Adrenal hypofunction
Glucocorticoid.deficiency,0,0,3,3,255.21,Glucocorticoid deficiency
Mineralocorticoid.deficiency,0,0,0,0,255.22,Mineralocorticoid deficiency
Adrenogenital.disorders,0,0,0,0,255.3,Adrenogenital disorders
Ovarian.dysfunction,0,0,0,0,256,Ovarian dysfunction
Hyperestrogenism,0,0,0,0,256.1,Hyperestrogenism
Polycystic.ovaries,0,0,0,0,256.4,Polycystic ovaries
Testicular.dysfunction,0,0,0,0,257,Testicular dysfunction
Testicular.hypofunction,0,0,1,1,257.1,Testicular hypofunction
Iatrogenic.endocrine.disorders,0,0,0,0,258,Iatrogenic endocrine disorders
Postablative.ovarian.failure,0,0,0,0,258.1,Postablative ovarian failure
Other.endocrine.disorders,0,0,0,0,259,Other endocrine disorders
Nonspecific.abnormal.results.of.other.endocrine.function.study,0,0,0,0,259.1,Nonspecific abnormal results of other endocrine function study
Carcinoid.syndrome,0,0,0,0,259.2,Carcinoid syndrome
Polyglandular.activity.in.multiple.endocrine.adenomatosis,0,0,0,0,259.8,Polyglandular activity in multiple endocrine adenomatosis
Protein.calorie.malnutrition,3,3,3,9,260,Protein-calorie malnutrition
Cachexia,3,2,3,8,260.1,Cachexia
severe.protein.calorie.malnutrition,2,1,3,6,260.2,severe protein-calorie malnutrition
Kwashiorkor,0,0,0,0,260.21,Kwashiorkor
Nutritional.marasmus,0,1,1,2,260.22,Nutritional marasmus
Adult.failure.to.thrive,3,2,3,8,260.3,Adult failure to thrive
Anorexia,2,2,1,5,260.6,Anorexia
Vitamin.deficiency,0,0,0,0,261,Vitamin deficiency
Vitamin.A.deficiency,0,0,0,0,261.1,Vitamin A deficiency
Vitamin.B.complex.deficiencies,3,3,3,9,261.2,Vitamin B-complex deficiencies
Vitamin.C.deficiencies,0,0,0,0,261.3,Vitamin C deficiencies
Vitamin.D.deficiency,0,2,0,2,261.4,Vitamin D deficiency
Rickets.or.osteomalacia,0,0,0,0,261.41,Rickets or osteomalacia
Mineral.deficiency.NEC,0,0,1,1,262,Mineral deficiency NEC
Other.nutritional.deficiency,3,2,2,7,263,Other nutritional deficiency
Lack.of.normal.physiological.development,0,0,0,0,264,Lack of normal physiological development
Short.stature,0,0,0,0,264.1,Short stature
Failure.to.thrive..childhood.,1,0,1,2,264.2,Failure to thrive (childhood)
Delayed.milestones,0,0,0,0,264.3,Delayed milestones
Lack.of.normal.physiological.development..unspecified,0,0,0,0,264.9,"Lack of normal physiological development, unspecified"
Proteinuria,3,2,2,7,269,Proteinuria
Disturbances.of.amino.acid.transport,0,0,0,0,270.1,Disturbances of amino-acid transport
Disturbances.of.sulphur.bearing.amino.acid.metabolism,0,0,0,0,270.11,Disturbances of sulphur-bearing amino-acid metabolism
Phenylketonuria..PKU.,0,0,0,0,270.12,Phenylketonuria [PKU]
Disorders.of.amino.acid.metabolism,0,0,0,0,270.2,Disorders of amino-acid metabolism
Disorders.of.urea.cycle.metabolism,0,0,1,1,270.21,Disorders of urea cycle metabolism
Disorders.of.plasma.protein.metabolism,0,0,0,0,270.3,Disorders of plasma protein metabolism
Polyclonal.hypergammaglobulinemia,0,0,0,0,270.31,Polyclonal hypergammaglobulinemia
Paraproteinemia,0,0,1,1,270.32,Paraproteinemia
Amyloidosis,3,2,0,5,270.33,Amyloidosis
Alpha.1.antitrypsin.deficiency,0,0,0,0,270.34,Alpha-1-antitrypsin deficiency
Macroglobulinemia,0,0,0,0,270.35,Macroglobulinemia
Other.specified.disorders.of.plasma.protein.metabolism,0,0,1,1,270.38,Other specified disorders of plasma protein metabolism
Disorders.of.carbohydrate.transport.and.metabolism,0,0,0,0,271,Disorders of carbohydrate transport and metabolism
Intestinal.disaccharidase.deficiencies.and.disaccharide.malabsorption,0,0,0,0,271.3,Intestinal disaccharidase deficiencies and disaccharide malabsorption
Other.disorders.of.carbohydrate.transport.and.metabolism,0,0,0,0,271.9,Other disorders of carbohydrate transport and metabolism
Disorders.of.lipoid.metabolism,0,0,0,0,272,Disorders of lipoid metabolism
Hyperlipidemia,3,3,3,9,272.1,Hyperlipidemia
Hypercholesterolemia,3,3,3,9,272.11,Hypercholesterolemia
Hyperglyceridemia,2,0,0,2,272.12,Hyperglyceridemia
Mixed.hyperlipidemia,2,3,3,8,272.13,Mixed hyperlipidemia
Hyperchylomicronemia,0,0,0,0,272.14,Hyperchylomicronemia
Unspecified.disorder.of.lipoid.metabolism,2,0,0,2,272.9,Unspecified disorder of lipoid metabolism
Gout.and.other.crystal.arthropathies,0,0,0,0,274,Gout and other crystal arthropathies
Gout,1,3,3,7,274.1,Gout
Gouty.arthropathy,0,1,1,2,274.11,Gouty arthropathy
Crystal.arthropathies,0,0,0,0,274.2,Crystal arthropathies
Chondrocalcinosis,0,3,3,6,274.21,Chondrocalcinosis
Disorders.of.mineral.metabolism,2,1,0,3,275,Disorders of mineral metabolism
Disorders.of.iron.metabolism,0,0,0,0,275.1,Disorders of iron metabolism
Hereditary.hemochromatosis,0,0,0,0,275.11,Hereditary hemochromatosis
Disorders.of.copper.metabolism,0,0,0,0,275.2,Disorders of copper metabolism
Disorders.of.magnesium.metabolism,3,3,2,8,275.3,Disorders of magnesium metabolism
Disorders.of.calcium.phosphorus.metabolism,0,1,1,2,275.5,Disorders of calcium/phosphorus metabolism
Hypocalcemia,2,3,1,6,275.51,Hypocalcemia
Disorders.of.phosphorus.metabolism,2,2,1,5,275.53,Disorders of phosphorus metabolism
Hypercalcemia,0,1,1,2,275.6,Hypercalcemia
Electrolyte.imbalance,3,1,2,6,276.1,Electrolyte imbalance
Hyperosmolality.and.or.hypernatremia,2,1,2,5,276.11,Hyperosmolality and/or hypernatremia
Hyposmolality.and.or.hyponatremia,3,3,2,8,276.12,Hyposmolality and/or hyponatremia
Hyperpotassemia,3,3,2,8,276.13,Hyperpotassemia
Hypopotassemia,3,2,2,7,276.14,Hypopotassemia
Acid.base.balance.disorder,2,1,1,4,276.4,Acid-base balance disorder
Acidosis,3,3,2,8,276.41,Acidosis
Alkalosis,3,2,0,5,276.42,Alkalosis
Hypovolemia,3,1,2,6,276.5,Hypovolemia
Fluid.overload,1,1,2,4,276.6,Fluid overload
Polydipsia,0,0,0,0,276.8,Polydipsia
